index,family,taxon,synonyms,origin,status,state
164,CAPRIFOLIACEAE,Lonicera japonica,,,introduced,GA
168,LYGODIACEAE,Lygodium japonicum,,,introduced,GA
169,MELIACEAE,Melia azedarach,,,introduced,GA
170,FABACEAE,Wisteria sinensis,,,introduced,GA
171,AMARANTHACEAE,Alternanthera philoxeroides,,,introduced,GA
174,FABACEAE,Lespedeza cuneata,,,introduced,GA
180,ARALIACEAE,Hedera helix,,,introduced,GA
186,PAULOWNIACEAE,Paulownia tomentosa,,,introduced,GA
193,PONTEDERIACEAE,Eichornia crassipes,,,introduced,GA
162,ERICACEAE,Rhododendron canescens,,,native,GA
167,POLEMONIACEAE,Phlox amoena,,,native,GA
172,ORCHIDACEAE,Platanthera cristata,,,native,GA
173,POLYGONACEAE,Polygonella gracilis,,,native,GA
176,CYPERACEAE,Carex granularis,,,native,GA
177,POACEAE,Paspalum floridanum,,,native,GA
178,ROSACEAE,Fragaria virginiana,,,native,GA
183,ASTERACEAE,Sericocarpus linifolius,,,native,GA
188,ORCHIDACEAE,Spiranthes laciniata,,,native,GA
198,PLANTAGINACEAE,Callitriche terrestris,,,native,GA
179,SIMAROUBACEAE,Leitneria floridana,,,S1,GA
322,ORCHIDACEAE,Cypripedium kentuckiense,,,S1,GA
184,VERBENACEAE,Glandularia bipinnatifida,,,S1,GA
185,ASTERACEAE,Helianthus verticillatus,,,S1,GA
187,SCHISANDRACEAE,Illicium floridanum,,,S1,GA
190,ANACARDIACEAE,Rhus michauxii,,,S1,GA
191,BETULACEAE,Alnus maritima,,,S1,GA
194,CYPERACEAE,Rhynchospora culixa,,,S1,GA
196,HYDROCHARITACEAE,Najas filifolia,,,S1,GA
200,PLANTAGINACEAE,Chelone cuthbertii,,,S1,GA
165,SARRACENIACEAE,Sarracenia rubra,,,S2,GA
166,MELASTOMATACEAE,Rhexia aristosa,,,S2,GA
175,PLANTAGINACEAE,Penstemon dissectus,,,S2,GA
182,LAMIACEAE,Scutellaria ocmulgee,,,S2,GA
189,BRASSICACEAE,Leavenworthia exigua,,,S2,GA
192,HYPERICACEAE,Hypericum erythreae,,,S2,GA
195,APIACEAE,Oxypolis ternata,,,S2,GA
197,HAMAMELIDACEAE,Fothergilla gardenii,,,S2,GA
199,ASTERACEAE,Prenanthes barbata,,,S2,GA
201,ORCHIDACEAE,Listera smallii,,,S2,GA
282,SIMAROUBACEAE,Ailanthus altissima,,,introduced,MI
283,VITACEAE,Ampelopsis brevipedunculata,Ampelopsis glandulosa brevipedunculata,,introduced,MI
284,EUPHORBIACEAE,Euphorbia esula,,,introduced,MI
285,LAMIACEAE,Galeopsis tetrahit,,,introduced,MI
286,CAPRIFOLIACEAE,Lonicera maackii,,,introduced,MI
287,HALORAGACEAE,Myriophyllum spicatum,,,introduced,MI
288,FABACEAE,Securigera varia,,,introduced,MI
289,SOLANACEAE,Solanum dulcamara,,,introduced,MI
290,APIACEAE,Torilis japonica,,,introduced,MI
291,APOCYNACEAE,Vincetoxicum nigrum,,,introduced,MI
292,OROBANCHACEAE,Agalinis purpurea,,,native,MI
293,APOCYNACEAE,Apocynum cannabinum,,,native,MI
294,ASTERACEAE,Bidens trichosperma,,,native,MI
295,FABACEAE,Desmodium rotundifolium,,,native,MI
296,PONTEDERIACEAE,Heteranthera dubia,,,native,MI
297,ASTERACEAE,Lactuca canadensis,,,native,MI
298,ERICACEAE,Monotropa uniflora,,,native,MI
299,POLYGONACEAE,Persicaria punctata,,,native,MI
300,ASTERACEAE,Pseudognaphalium obtusifolium,,,native,MI
301,IRIDACEAE,Sisyrinchium albidum,,,native,MI
302,FABACEAE,Baptisia leucophaea,Baptisia bracteata leucophaea,,S1,MI
